xmlns:cpt=http://iri.columbia.edu/CPT/v10/
xmlns:cf=http://cf-pcmdi.llnl.gov/documents/cf-conventions/1.4/
cpt:nfields=1
cpt:T	1982-11/1983-01	1983-11/1984-01	1984-11/1985-01	1985-11/1986-01	1986-11/1987-01	1987-11/1988-01	1988-11/1989-01	1989-11/1990-01	1990-11/1991-01	1991-11/1992-01	1992-11/1993-01	1993-11/1994-01	1994-11/1995-01	1995-11/1996-01	1996-11/1997-01	1997-11/1998-01	1998-11/1999-01	1999-11/2000-01	2000-11/2001-01	2001-11/2002-01	2002-11/2003-01	2003-11/2004-01	2004-11/2005-01	2005-11/2006-01	2006-11/2007-01	2007-11/2008-01	2008-11/2009-01	2009-11/2010-01
cpt:field=prcp, cpt:T=1982-11/1983-01, cpt:nrow=32, cpt:ncol=28, cpt:row=Y, cpt:col=X, cpt:units=mm/day, cf:standard_name=lwe_precipitation_rate, cpt:missing=-999
	87.125	87.375	87.625	87.875	88.125	88.375	88.625	88.875	89.125	89.375	89.625	89.875	90.125	90.375	90.625	90.875	91.125	91.375	91.625	91.875	92.125	92.375	92.625	92.875	93.125	93.375	93.625	93.875
27.875	  39.1835    	  42.3532    	  43.7197    	  43.7776    	  37.3315    	  28.7036    	  17.3451    	  6.75874    	  3.64702    	  7.11471    	  10.6230    	  5.49099    	  4.03863    	  4.74440    	  1.00919    	  3.54732    	  6.73203    	  8.18906    	  6.87397    	  18.6623    	  15.5032    	  3.29378    	 0.526968    	  13.6783    	  36.9025    	  48.6459    	  58.5717    	  70.4383    
27.625	  48.3086    	  43.6678    	  45.1016    	  49.4896    	  32.6486    	  27.1724    	  22.8391    	  10.6503    	  5.54675    	  12.3446    	  14.8279    	  10.1916    	  2.15771    	  1.22789    	  2.41002    	  5.26368    	  6.11200    	  1.51816    	  9.81952    	  8.21816    	  12.2128    	  17.1876    	  13.8196    	  35.6048    	  46.5133    	  36.5475    	  59.0308    	  78.7731    
27.375	  42.9350    	  40.0123    	  43.6441    	  37.9111    	  29.8016    	  29.0194    	  27.3639    	  27.7346    	  16.6300    	  12.2189    	  16.9655    	  11.7385    	  4.15395    	  9.68075    	  7.81686    	  5.76624    	  14.5947    	  12.5211    	  18.5459    	  14.8231    	  10.1999    	  18.7727    	  30.4485    	  45.3120    	  50.5627    	  50.6951    	  76.6462    	  101.119    
27.125	  38.2780    	  34.0375    	  35.9732    	  31.3409    	  29.3271    	  27.2126    	  25.4211    	  24.5923    	  22.0280    	  20.3965    	  26.8767    	  21.3029    	  21.4642    	  26.5256    	  22.0241    	  22.1283    	  21.5407    	  22.8396    	  24.8924    	  33.5700    	  27.2420    	  32.7630    	  41.4340    	  49.5497    	  55.4070    	  62.1357    	  85.3682    	  120.121    
26.875	  36.4048    	  25.5637    	  28.3018    	  25.4487    	  24.5389    	  22.2991    	  21.7389    	  21.4200    	  21.8834    	  22.6479    	  22.1309    	  22.8611    	  22.5306    	  23.0112    	  26.2486    	  28.9085    	  30.5351    	  29.9672    	  35.3271    	  38.9065    	  40.7481    	  45.6480    	  48.9555    	  55.1131    	  61.2181    	  66.6078    	  76.7847    	  92.5480    
26.625	  33.2571    	  26.5298    	  26.4687    	  23.8405    	  19.5888    	  17.4772    	  20.3257    	  21.5388    	  22.7553    	  21.7867    	  22.6649    	  25.5473    	  27.3250    	  26.4591    	  30.4855    	  31.4496    	  31.6507    	  31.6553    	  37.1336    	  41.7021    	  43.4106    	  48.4424    	  41.1350    	  48.7174    	  54.8059    	  58.9619    	  64.7586    	  74.4414    
26.375	  30.2649    	  27.7801    	  27.0944    	  23.9528    	  21.4396    	  20.3327    	  21.6703    	  23.1719    	  21.2626    	  17.1803    	  21.2490    	  30.6272    	  30.2320    	  28.5834    	  28.0642    	  28.0151    	  28.7679    	  28.6439    	  29.5149    	  34.0535    	  38.8398    	  39.1458    	  41.9228    	  45.6814    	  50.5791    	  57.0168    	  63.2020    	  72.6108    
26.125	  30.8228    	  29.7681    	  28.5353    	  28.2030    	  24.2411    	  22.4772    	  22.3833    	  21.9195    	  20.6488    	  20.0145    	  25.3607    	  36.6143    	  31.7910    	  29.8552    	  28.7477    	  27.8300    	  28.7180    	  26.4098    	  25.3337    	  35.0809    	  38.0286    	  29.3843    	  34.4489    	  45.2388    	  54.0076    	  54.5126    	  58.8030    	  65.5415    
